Fuel,Year,Discoveries,Cumulative_Discoveries,Production,Cumulative_Production,Reserves
Oil,1921,0.8968593392936688,34.65125751081618,4.5,45.269999999999996,-10.618742489183816
Oil,1922,2.6905780178810064,37.34183552869719,5.03,50.3,-12.958164471302808
Oil,1923,0.4484296696468344,37.790265198344024,5.94,56.239999999999995,-18.44973480165597
Oil,1924,0.4484296696468344,38.23869486799086,5.93,62.169999999999995,-23.931305132009136
Oil,1925,2.242148348234172,40.48084321622503,6.22,68.39,-27.909156783774968
Oil,1926,0.018955186728833593,40.499798402953864,6.38,74.77,-34.27020159704613
Oil,1927,1.5432000000000001,42.04299840295386,7.28,82.05,-40.007001597046134
Oil,1928,2.658228348234172,44.70122675118804,7.65,89.7,-44.998773248811965
Oil,1929,3.994308348234172,48.69553509942221,8.57,98.27000000000001,-49.5744649005778
Oil,1930,4.555923431452673,53.251458530874885,8.18,106.45000000000002,-53.19854146912513
Oil,1931,0.9218486862905345,54.17330721716542,7.91,114.36000000000001,-60.18669278283459
Oil,1932,4.648364392638381,58.8216716098038,7.55,121.91000000000001,-63.08832839019621
Oil,1933,1.611,60.4326716098038,8.24,130.15,-69.7173283901962
Oil,1934,0.66576,61.0984316098038,8.7,138.85,-77.7515683901962
Oil,1935,1.4137773725810692,62.51220898238486,9.46,148.31,-85.79779101761514
Oil,1936,10.512430789166398,73.02463977155126,10.3,158.61,-85.58536022844875
Oil,1937,5.915555510913102,78.94019528246437,11.73,170.34,-91.39980471753563
Oil,1938,120.42243759061178,199.36263287307617,11.45,181.79,17.572632873076174
Oil,1939,1.427617372581069,200.79025024565723,11.93,193.72,7.070250245657235
Oil,1940,124.00949675413644,324.7997469997937,12.31,206.03,118.76974699979368
Oil,1941,11.167177683303333,335.96692468309703,12.68,218.71,117.25692468309703
Oil,1942,3.652943508398655,339.6198681914957,11.94,230.65,108.96986819149569
Oil,1943,8.79971362575796,348.41958181725363,12.85,243.5,104.91958181725363
Oil,1944,9.73186452621344,358.15144634346706,14.75,258.25,99.90144634346706
Oil,1945,9.073451903058736,367.2248982465258,14.74,272.99,94.2348982465258
Oil,1946,8.664084751871403,375.88898299839724,15.68,288.67,87.21898299839722
Oil,1947,154.21687868766395,530.1058616860612,17.27,305.94,224.1658616860612
Oil,1948,141.40184801732383,671.507709703385,19.54,325.48,346.02770970338497
Oil,1949,105.27679400765757,776.7845037110426,19.43,344.91,431.87450371104256
Oil,1950,4.592542442254934,781.3770461532976,21.8,366.71000000000004,414.6670461532975
Oil,1951,132.77408459664278,914.1511307499403,24.72,391.43000000000006,522.7211307499402
Oil,1952,4.458742793492093,918.6098735434324,25.99,417.4200000000001,501.1898735434323
Oil,1953,18.224153281084675,936.8340268245171,27.48,444.9000000000001,491.934026824517
Oil,1954,3.8992411599458188,940.7332679844629,28.77,473.6700000000001,467.06326798446287
